name,f1,f2,f3,f4,f1v,c1,c2,l1,l2,l3,n1,n2,n3,n4,t1,t2,t3,t4
glass,0.7112568223855797,0.1515326330948499,0.4922118380062306,0.23909657320872277,0.23133990562914952,0.4324783601048623,0.6124538475077145,0.18971006561724058,0.1425233644859813,0.13862928348909656,0.04750778816199377,0.738682097220115,0.07320872274143297,0.07087227414330217,0.2881619937694703,0.04205607476635514,0.028037383177570093,0.6666666666666666
abalone,0.9529353850482742,0.0705879601373483,0.5000855636936136,0.4434680676295434,0.2790923855940556,0.8226464560037223,0.9214694795244378,0.08862423677815413,0.046777671298514616,0.09115100280648915,0.028287357108631665,0.9341551296703379,0.05660893969470875,0.038375316585666376,0.12308337326305703,0.001916626736942981,0.00023957834211787264,0.125
flare,0.6895893808620391,0.0,0.5189180737961226,0.3605378361475922,0.27260530016365,0.3941044636895781,0.6104734967621437,0.09972719756555874,0.08708567854909317,0.08223889931207004,0.06863664790494058,0.7194905883320759,0.10350218886804252,0.08552220137585992,0.27720450281425896,0.010318949343339587,0.005628517823639775,0.5454545454545454
wisconsin,0.34959346212711345,0.28774094082566704,0.9385065885797951,0.8535871156661786,0.08253953555605534,0.06599734117820522,0.16528551819615578,0.06080424339818237,0.05197657393850659,0.036603221083455345,0.0424597364568082,0.38629659206082445,0.08052708638360173,0.03733528550512445,0.3308931185944363,0.013177159590043924,0.01171303074670571,0.8888888888888888
bupa,0.9520955616175119,0.7507331378299122,0.9826086956521739,0.9652173913043478,0.7319148165076832,0.01841137878986121,0.049569848422777674,0.31899270484339826,0.47246376811594204,0.4536231884057971,0.22753623188405797,0.5094970682800163,0.4173913043478261,0.30289855072463767,0.8840579710144928,0.017391304347826087,0.011594202898550725,0.6666666666666666
banana,0.850076611706567,0.991269726847343,0.9973584905660378,0.9964150943396226,0.7267335878211767,0.007725567282368062,0.0211553916435695,0.42262366015355346,0.3781132075471698,0.365188679245283,0.06952830188679246,0.49089627117721235,0.13433962264150945,0.33764150943396226,0.21075471698113207,0.0003773584905660377,0.0003773584905660377,1.0
ionosphere,0.6436609152288071,0.0,0.8091168091168092,0.1225071225071225,0.1675791603423805,0.05817146455248434,0.14738124238733263,0.24334101919241408,0.24074074074074073,0.1495726495726496,0.10541310541310542,0.5201203739958712,0.19373219373219375,0.19515669515669515,0.6638176638176638,0.09401709401709402,0.06552706552706553,0.696969696969697
newthyroid,0.47182408590703045,0.13836568341924357,0.47441860465116276,0.20775193798449612,0.15018998453556293,0.2973070921429743,0.5265368978002142,0.15057587158775032,0.17674418604651163,0.07906976744186046,0.02945736434108527,0.6589242761688044,0.043410852713178315,0.06356589147286822,0.16899224806201552,0.023255813953488372,0.018604651162790697,0.8000000000000002
hepatitis,0.6264874958807808,0.0,0.6625,0.025,0.11639000564950325,0.35974305631894954,0.6260197509660799,0.18009551292457165,0.1,0.25625000000000003,0.10625,0.7111316074663441,0.17500000000000004,0.0875,0.6,0.2375,0.05,0.21052631578947367
phoneme,0.7289211503280997,0.6722748063380024,0.8806439674315322,0.8286454478164322,0.38475069606904777,0.1268177422758594,0.29146223026212636,0.3403669001256182,0.4112694300518135,0.4012768319763138,0.058105107327905255,0.5680224515870919,0.08641746854182086,0.1751480384900074,0.28367875647668395,0.000925240562546262,0.000925240562546262,1.0
vehicle,0.7812251609315148,0.0531045565349446,0.7591607565011821,0.5511229314420804,0.2345141763879118,0.18903185498464767,0.40007593918467466,0.22323696951526512,0.17405437352245862,0.20862884160756504,0.09397163120567377,0.6080322010687507,0.17139479905437355,0.17139479905437352,0.541371158392435,0.02127659574468085,0.0035460992907801418,0.16666666666666666
wdbc,0.2136465274280412,0.012073489034876279,0.5764499121265377,0.0,0.048892607604581154,0.04736487759814023,0.12195970834082581,0.05875990254135463,0.10369068541300527,0.016695957820738138,0.028119507908611598,0.45537205128566044,0.05975395430579966,0.02372583479789104,0.24956063268892795,0.05272407732864675,0.01757469244288225,0.3333333333333333
magic,0.8692296586829314,0.9905741056114299,0.9974763406940063,0.993322818086225,0.5693521293966226,0.06448475545326404,0.1618572716675205,0.2633470017334048,0.39458464773922186,0.33903785488958993,0.13688222923238696,0.5352752279860292,0.2631966351209254,0.23533123028391167,0.7112513144058885,0.0005257623554153522,0.0003680336487907466,0.7
sonar,0.6254528586703538,0.03412670172111428,0.9519230769230769,0.0,0.11826769004649774,0.003270410979163474,0.009019788311090626,0.11544890519235884,0.16586538461538464,0.08173076923076922,0.08653846153846154,0.4881455879724738,0.11538461538461542,0.08653846153846154,0.7740384615384616,0.28846153846153844,0.11057692307692307,0.38333333333333336
balance,0.816404007812901,1.0,1.0,1.0,0.41609784251165216,0.2041201572717568,0.2851731899969652,0.0830052282206184,0.058133333333333335,0.042666666666666665,0.07733333333333332,0.591023272291814,0.15466666666666665,0.04213333333333333,0.41653333333333337,0.0064,0.0064,1.0
led7digit,0.6854519612574151,1.0,1.0,1.0,0.14582224916579908,0.5320686614821721,0.7802714069048384,0.05796627823630869,0.046,0.0366,0.063,0.8114880842672292,0.0724,0.0484,0.2998,0.014000000000000002,0.014000000000000002,1.0
ring,0.9286773660551383,0.9920452262575036,0.9989189189189189,0.9928378378378379,0.2992536835579942,6.828934531188935e-05,0.00018931735899940794,0.4049340943250123,0.5158783783783785,0.5161486486486486,0.16993243243243245,0.49275824649962985,0.33945945945945943,0.1772972972972973,0.9991891891891892,0.002702702702702703,0.0025675675675675674,0.95
saheart,0.755860144406348,0.8290907183405499,0.9502164502164502,0.9025974025974026,0.462082065275968,0.0692611890128424,0.17263107427827817,0.4056415077087644,0.40909090909090906,0.3874458874458875,0.21645021645021645,0.5397996470328201,0.4372294372294372,0.2922077922077922,0.8398268398268398,0.01948051948051948,0.010822510822510822,0.5555555555555556
lymphography,0.5435308911245996,0.08163265306122448,0.48141891891891897,0.42905405405405406,0.08440065547958002,0.43657783965597635,0.4986771778194247,0.05855225413260909,0.05405405405405406,0.037162162162162164,0.0641891891891892,0.7116974789032191,0.13513513513513511,0.0625,0.5016891891891893,0.12162162162162163,0.07432432432432433,0.6111111111111112
cleveland,0.8254511174278957,0.5331352679522026,0.9117845117845118,0.7306397306397308,0.34747467648915364,0.40293988007973097,0.5944105975900666,0.17498894101162543,0.23299663299663295,0.11717171717171719,0.11178451178451176,0.732873656972157,0.21683501683501688,0.14006734006734006,0.4909090909090909,0.04377104377104377,0.013468013468013467,0.3076923076923077
haberman,0.9004953340869136,0.8958333333333334,0.9705882352941176,0.9705882352941176,0.756883180786661,0.16623509278933501,0.3626062322946175,0.2603741605871568,0.2630718954248366,0.3758169934640523,0.16339869281045752,0.5984795516010611,0.3431372549019608,0.2679738562091503,0.5490196078431373,0.00980392156862745,0.006535947712418301,0.6666666666666666
